"id","filename","url","name","reviewer_notes","category","type_code"
"0001","0001.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/46631fab-8990-4c9d-ae35-839959226fae.jpg","Knipkies hond/wolf?","Dit is een premlaar 4 uit de rechter onderkaak van een wolf / hond.","Mammals","palaeontological"
"0002","0002.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/26f69b90-8859-4d12-9513-a2ee1e642e60.jpg","Rond hol botfragment ","Een schacht van een middenhands- of voetsbeen van een grotere herbivoor, rund of hert.","Mammals","palaeontological"
"0003","0003.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/06954725-8a89-4131-bef2-3f0733c602ea.jpg","Stukje kroon","Dat is een moeilijke. Mijn eerste indruk, gezien het formaat, is een ver versleten premolaar uit de bovenkaak van een grote runderachtige.Maar in mijn vergelijkings materiaal heb ik dat gaatje gezien in een molaar van een muskusos, maar daar voor is naar mijn mening de kies te groot.","Mammals","palaeontological"
"0004","0004.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/38de5dde-6efd-4091-ab03-06696d8a04a0.jpg","Redelijk compleet bot ?","Dit is een frament van de derde teenkoot, waar de hoef omheen zit, van een paard.","Mammals","palaeontological"
"0005","0005.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1033e52c-cdff-40de-88a9-09708e5d6c06.jpg","Botfragment ","Ondanks alle vormen kan ik het toch niet determineren.","Mammals","palaeontological"
"0006","0006.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/19834a02-ea3f-49ec-b37e-78aba7085fbe.jpg","Middenvoetsbeen ?","Ik kom uit op metacarous rendier.","Mammals","palaeontological"
"0007","0007.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/00992462-b355-4f34-9550-c4e84ff80a04.jpg","Kan iemand dit determineren?","Het meeste straatzand komt uit de Noordzee.Dit is een fragment van de stoottand van een mammoet. Je moet hem eerst een tijd ontzilten in drinkwater, wat je regelamtigververst. Dat kan een paar manden in beslag nemen. Daarna laat je het langzaam op een koele plek drogen. Dat kan bijv, door het in kranten te wikkelen. Na drogen kan je het in de paraloydoplossing dompelen en er een dag in laten liggen of regematig goed insmeren. Dit moet je niet in een te koele omgeving doen anders trekt het condenswater aan en slaat dan wit uit. Gebeurt dat toch, dan kan je het naderhand met een doek aceton weer insmeren totdat het vocht wat er in zat weer opgenomen is in de doek, waarna het weer goed zal drogen. Eventueel moet je hat na enige tijd nog nabehandelen, want het ivoor is doordrenkt met water en gaat regematig tijdens het drogen krimpen.","Mammals","palaeontological"
"0008","0008.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/92fa6749-a668-4699-be87-d0da9df9f382.jpg","proximaal deel ellepijp","Interessant botstuk. Knap dat je ziet dat het een ulna is. Ik ben er niet 100% zeker van. Omdat het gewrichtsvlak een scherpe uitstulping heeft denk ik in de richting van neushoorn. Dat komt ook overeen met het formaat en met de gekke draai die in het bot zit.","Mammals","palaeontological"
"0009","0009.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/7eb07a60-7477-4afa-be45-ff426b072c4f.jpg","gewrichtskop spaakbeen","De aanzet voor de ulna zit heel hoog, daarom denk ik in de richting van paardachtige. Ook komen de afmetingen met paard overeen. Het bot ziet er overigens fossiel uit, dus waarschijnlijk daterend uit het late Pleisticeen.","Mammals","palaeontological"
"0010","0010.jpg","https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0f08e648-fecc-4ac8-add2-0f3d98cd7c1e.jpg","Walvisbotje","Mooie vondst, Patrick. Ik ben benieuwd of het op de Maasvlakte is gevonden. De vorm is typisch en kan inderdaad alleen maar van een walvisachtige zijn. Het is een radius (spaakbeen) uit een van de flippers van een bruinvis of een kleine dolfijnensoort. Dit soort vondsten zijn vrij zeldzaam.","Mammals","palaeontological"
