id;filename;url;reviewer_notes;category;type_code;ShortOrLong
1;0001.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/00992462-b355-4f34-9550-c4e84ff80a04.jpg;Het meeste straatzand komt uit de Noordzee.Dit is een fragment van de stoottand van een mammoet. Je moet hem eerst een tijd ontzilten in drinkwater, wat je regelamtigververst. Dat kan een paar manden in beslag nemen. Daarna laat je het langzaam op een koele plek drogen. Dat kan bijv, door het in kranten te wikkelen. Na drogen kan je het in de paraloydoplossing dompelen en er een dag in laten liggen of regematig goed insmeren. Dit moet je niet in een te koele omgeving doen anders trekt het condenswater aan en slaat dan wit uit. Gebeurt dat toch, dan kan je het naderhand met een doek aceton weer insmeren totdat het vocht wat er in zat weer opgenomen is in de doek, waarna het weer goed zal drogen. Eventueel moet je hat na enige tijd nog nabehandelen, want het ivoor is doordrenkt met water en gaat regematig tijdens het drogen krimpen.;Mammals;palaeontological;Long
2;0002.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/13e9c411-7c3c-4bbc-a701-d52cca8cab4c.jpg;Ik denk eerder aan een fragmentje van een mammoetkies. Op de eerste foto zie in het kauwvlak parallelle email lijnen en die zie je niet in neushoornkiezen.;Mammals;palaeontological;Long
3;0003.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/a44c0036-d056-4bf5-92cc-54b5cc2e2751.jpg;Dit is een fragment van een van de achterste borstwevels of lendenwervel van een mammoet.;Mammals;palaeontological;Short
4;0004.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8f8c12f0-bd82-4525-a276-3c07031917fa.jpg;Klopt, een losse kieslamel van een wolharige mammoet.;Mammals;palaeontological;Short
5;0005.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0129739f-fd3b-4b41-9ba6-9b37d4c5888e.jpg;Dit is een zeer bijzonder mammoetkiesje, een derde premolaar uit de onderkaak. Deze behoorde tot het tweede paar kiezen die doorkwam rond de zesde levensmaand;;;
6;0006.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4a008d28-3d16-4e9f-ba10-79dc465bfdd1.jpg;Klopt dit is een los articulatievlakje (epifyse) van een nog niet volgroeide mammoetrib. Dit deel articuleert met 2 wervels.;Mammals;palaeontological;Long
7;0007.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/52ad7bf3-28ed-4a2c-bc87-641c04dc09bc.jpg;Klopt, van een mammoet.;Mammals;palaeontological;Short
8;0008.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/852a02da-6c4b-487a-9666-15f274370423.jpg;Dit is een fragment van deel van een mammoetbot. Het is los gegaan op de groeischijf.;Mammals;palaeontological;Short
9;0009.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/195e2bd2-4756-4708-b1ba-15b72ab96008.jpg;Dit is een totaal versleten kies van een mammoet. Dergelijke resten laten los en worden of ingeslikt of ze vallen uit. Ik heb in Diergaarde Blijdorp een keer een verzorger met een dergelijk fragment zien lopen.;Mammals;palaeontological;Long
10;0010.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1138ec13-164a-446c-a3ac-a6a2c36fc54c.jpg;Weer veel mammoet gevonden. Op een paar plaatsen zie je deze ronde spieraanhechting, dus je meot gaan vergelijken.;Mammals;palaeontological;Long
11;0011.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/06692cd2-8b1c-43e6-8eb5-b6950c6f43ae.jpg;Ik denk ook mammoet maar eerder iest naar achtere, een jukboog.;Mammals;palaeontological;Short
12;0012.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1bf76e68-36cc-437c-a24d-531cc9381acc.jpg;c.a. 15 cm kan van een mammoet zijn.&nbsp;;;
13;0013.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2bffeac9-441e-40af-abf3-a856ec58ccf9.jpg;In ieder geval aan fragment rib, mogelijk van een mammoet.;Mammals;palaeontological;Short
14;0014.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0ecf3a94-b2e7-4361-bba0-407fd37b41e9.jpg;Het is jammer dat het zo ver uit elkaar is gevallen, maat het is het voorste puntje van een mammoet stoottand.;Mammals;palaeontological;Long
15;0015.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/345dc038-47f5-4565-a371-afd9a0a82615.jpg;Het bovenste deel van een borst- of lendenwervel van een mammoet.;Mammals;palaeontological;Short
16;0016.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/427105c9-6dfe-4867-8345-24bb4095be2b.jpg;Dit is een fragmentje van een lamel uit een mammoetkies in opbouw.;Mammals;palaeontological;Short
17;0017.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/3c392804-c37c-4b3c-83ab-b2b7a665b8c8.jpg;Een brok bot dat als je er veel moeite voor doet te determineren is. Gezien de structuur zou het van een mammoet kunnen zijn.;Mammals;palaeontological;Long
18;0018.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/3032ddbe-50e4-432e-8c74-bddfb0660d7f.jpg;Klopt, een groot fragment van de onderkaak van een jonge mammoet. Maar wat te groot voor een baby.;Mammals;palaeontological;Short
19;0019.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/07a3604d-e745-411d-8f70-c7f9fe7e3340.jpg;Zulke fragmenten zijn vrijwel niet te determineren. Gezien de structuur en het formaat kan het van een mammoet geweest zijn.;Mammals;palaeontological;Long
20;0020.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/269bd733-9360-480f-94c7-fc91053e2266.jpg;Een fragementje van een doornvormig uitsteeksel van een van de achterste borstwervels van een mammoet;Mammals;palaeontological;Long
21;0021.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/310dec56-ba40-4db9-a15a-454d80fc9fbe.jpg;Dit is een fragment van een schedel. De holle ruimten zijn sinussen. Ze dienen om de schedel van binnen te versterken op plaatsen waar hij niet gebruikt wordt door hersenen e.d. Mogelijk is dit van een mammoet schedel.Bij ons heten de sinussen voorhoofds- of neusholte enz.;Mammals;palaeontological;Long
22;0022.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2de75d96-e337-4bb8-ba97-88e6aa5e2848.jpg;Fragment van een mammoetkies;Mammals;palaeontological;Short
23;0023.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/85b1f110-76b4-4fce-8dc7-3b4512f7531d.jpg;Klopt, dit is een fragmentje mammoetivoor.;Mammals;palaeontological;Short
24;0024.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/6251c025-f805-4b02-93d6-eded6053c60b.jpg;Ik denk ook een stukje slagtand van een mammoet. De mammoet leefde in het Pleistoceen (IJstijd);Mammals;palaeontological;Short
25;0025.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5409626a-7176-482f-afca-de52a35084e2.jpg;Gezien de vorm is de kans groot dat het een fragmente van het bovenste, met het schouderblad bewegende, deel van het opperarmbeen van een mammoet is. Mammoet is zeker, de rest is een beetje gegokt.;Mammals;palaeontological;Long
26;0026.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0782f54c-5887-4570-9027-d7d3c40ba128.jpg;Klopt, de laatste kies uit de rechteronderkaak van een wolharige mammoet.;Mammals;palaeontological;Short
27;0027.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/26db217e-d727-4a02-8068-e548245a4290.jpg;Gelukkig is dit te determineren. Een bekkenfragment met een deel van de kom waar het dijbeen in draait van een mammoet.;Mammals;palaeontological;Long
28;0028.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/09897f92-9d39-437e-9621-45aff9c5c48d.jpg;Bedankt voor de maataanduiding. Dit is een fragment van een mammoetrib.;Mammals;palaeontological;Short
29;0029.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2f9cb924-8fcc-44cf-82ce-cd720b7b8b01.jpg;Klopt, het voorste stukje van een grotendels versleten mammoetkies.;Mammals;palaeontological;Short
30;0030.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/145e6edd-933b-4e4a-9438-a336c1390e83.jpg;Een losse lamel van een mammoetkies in opbouw. Deze moest nog gevuld met tandbeen en met tandcement aan de lamel ervoor geplakt worden.;Mammals;palaeontological;Long
31;0031.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/01d34e14-a3a8-4427-ba7a-479c09ebfe4b.jpg;Zo groot kan alleen maar van een mammoet zijn, maar waar dit botfragment thuishoort kan ik niet zeggen. Je zou moeten gaan vergelijken. In Rotterdam bij het NHMR staat een skelet van een Indische olifant en in Hellevoetsluis bij Historyland staan een paar mammoeten. Daar kan je vergelijken. Misschien is Rotterdam de beste en kan je eventueel vragen. Er is daar genoeg kennis in huis. In handen hebben of foto's maakt een groot verschil.;Mammals;palaeontological;Long
32;0032.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1e3a1aeb-2f5c-487d-94ac-cb88de2a7ba9.jpg;Een teenkootje van een mammoet.;Mammals;palaeontological;Short
33;0033.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/95266dac-63cf-4d3b-a920-560b17961abd.jpg;Mogelijk een heel klein fragmentje van een mammoetkies.;Mammals;palaeontological;Short
34;0034.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/5df27042-b545-43b6-93b9-71b7cd4bae8c.jpg;Dit is een stukje mammoetbot.;Mammals;palaeontological;Short
35;0035.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/37bcc66f-4a64-4c87-b094-65b6740e1914.jpg;Gezien het formaat, zal het afkomstig zijn van een mammoet. Dit is een fragment van een groter skeletelement, maar welk bot is niet meer te achterhalen. Bij de wolharige mammoet zie je vaker dergelijke ontstekingen. Abcessen laten botvervormingen zien die lijken op deze vondst. Bij de laatste vertegenwoordigers van de mammoetlijn, vlak voor het uitsterven, komen ook regelmatig niet goed aangelegde botstructuren voor als gevolg van een beperkte genenpool of inteelt. Deze vervormde structuren zie je vooral op de doornuitsteeksels van de borstwervels. Doornuitsteeksels zijn dunne langgerekte botten, Deze vondst is daar te breed voor.;Mammals;palaeontological;Long
36;0036.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/77348efc-9ed8-4600-8348-8f2e0efea090.jpg;Ik denk ook een stuk rib, waarschijnlijk van een mammoet. Deze vorm zie ik wel vaker.;Mammals;palaeontological;Short
37;0037.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0af52ed7-7675-4858-a0f3-13049e5827a9.jpg;Dit ribfragment is van een mammoet.;Mammals;palaeontological;Short
38;0038.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/189310b3-437c-40ed-8bff-ea3531a5f5e0.jpg;Dit is een losse kop van het dijbeen van een mammoet. Hij was nog niet vergroeid met de rest van het bot. Deze groeit pas vast als het dier rond de 40 jaar oud is.;Mammals;palaeontological;Long
39;0039.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/040f6088-4227-4d7b-880f-8b71f998d226.jpg;Een m1 uit de rechter onderkaak van wolharige mammoet.;Mammals;palaeontological;Short
40;0040.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/301f891b-7941-40a9-b6ae-a314464cbdf1.jpg;Zulke fragmenten zijn niet goed te determineren. Ik gok wat en denk een fragment van een middenvoetbeen van een mammoet.;Mammals;palaeontological;Long
41;0041.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/53ac5dd4-390e-4faa-9055-fa0d8dc7431e.jpg;Dit is het losse onderste deel van het scheenbeen van een mammoet. Het is los gelaten op de groeischijf, die tegen het ruwe deel lag.;Mammals;palaeontological;Long
42;0042.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/cff3a3a9-c9fc-4c58-994e-be9c6ff4219f.jpg;Een leuke rib van een planteneter. Mogelijkheden lopen uiteen van koe tot wisent. In ieder geval geen mammoet.;Mammals;palaeontological;Long
43;0043.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/19611459-2b6a-418b-9fc9-dfee835a041d.jpg;Dit is wel weer een leuke. Het is het onderste deel van het kuitbeen (fubula) van een mammoet. Vind je niet elke dag. De kleur is typisch voor fossielen uit de Eurogeul. Dit bot heeft een bijzonder mooi bewaard gebleven structuur.;Mammals;palaeontological;Long
44;0044.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/0dfaf894-f216-4ef9-9f18-36a77fc626e8.jpg;Goede suggestie van Huug. Misschien is de holte voor bekken te ondiep en te weinig rond voor de kogel van het dijbeen. Vergelijk het eens met bekken en scheenbeen mammoet.;Mammals;palaeontological;Long
45;0045.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/c10be72f-c959-4905-9ee8-84555076707c.jpg;Een middenvoetsbeen van een mammoet.;Mammals;palaeontological;Short
46;0046.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/4649680b-9557-471d-abcd-09106389caa1.jpg;1e foto: 3 steentjes die niet door mensen bewerkt zijn.2e foto: steentje (limoniet), niet determineerbeer stukje bot en mogelijk een fragmentje mammoetivoor of misschien stukje hout3e foto: steentje of afval uit de industrie (sinter)4e : fragment fossiele oester5e: klein vuursteen knolletje;Mammals;palaeontological;Long
47;0047.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/9d53008f-c8e7-4c2e-bdd2-c5fe3cacf649.jpg;Een fragment van een halswervel van een mammoet.;Mammals;palaeontological;Short
48;0048.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/53db5db7-1ec3-4b9b-9c1a-715bc7d078d1.jpg;Je foto's zijn niet scherp genoeg. Ik twijfel tussen een stuk mammoetstoottand en een stuk bot.;Mammals;palaeontological;Short
49;0049.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/2f8fddd6-927c-4b42-baa7-3afab1341c1d.jpg;Klopt een versleten kies van een wolharige mammoet. Het gaat om de derde premolaar (dp3) uit de linker onderkaak.;Mammals;palaeontological;Long
50;0050.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/16ab63eb-d4bd-4266-9727-b1d74bcd95af.jpg;Dit is een fragment van een mammoet rib.;Mammals;palaeontological;Short
51;0051.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1e0cd6b5-5ce9-44cc-9b33-014d5ff08aa1.jpg;Het is een stuk van een lamel van een wolharige mammoetkies. Leuke vondst!&nbsp;;;
52;0052.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/37462097-817b-4431-8986-330de6a02be2.jpg;Het is een stukje buitenste schil van de slagtand van een wolharige mammoet.;Mammals;palaeontological;Short
53;0053.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/8b20e771-90ad-4420-94df-d0328944c38f.jpg;U heeft veel vondsten gedaan, dit is een stukje ivoor van een mammoetslagtand.;Mammals;palaeontological;Short
54;0054.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/16daa01b-8e4e-4e49-9d6d-71a6aa0980b2.jpg;Klopt, een ribfragment van een mammoet.;Mammals;palaeontological;Short
55;0055.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/61456b97-073a-4d21-a4c3-4a51a9acdc7d.jpg;Een wortel van een mammoetkies.;Mammals;palaeontological;Short
56;0056.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/1978f67d-acac-43ad-9481-5b00926ab5fe.jpg;Zeker van een mammoet, ik denk een middenvoetbeen of teenkoot.;Mammals;palaeontological;Short
57;0057.jpg;https://oervondstchecker.s3.eu-central-1.amazonaws.com/images/large/429ddd46-4758-4578-bfb0-823dab251246.jpg;Een hele leuke vondst. Een fragment dijbeen van een jonge mammoet en de bovenzijde (breed uiteinde) is aangevreten door hyena's.;Mammals;palaeontological;Long
